key,map_winner,attacker_payload_distance1,attacker_payload_distance2,defender_payload_distance1,defender_payload_distance2,attacker_time_banked1,attacker_time_banked2,defender_time_banked1,defender_time_banked2,attacker_control_perecent1,attacker_control_perecent2,defender_control_perecent1,defender_control_perecent2,team_one_name,team_two_name,year,map_name
"(21418, 'Busan')",Los Angeles Gladiators,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.0,0.0,0.0,200.0,Dallas Fuel,Los Angeles Gladiators,2019,Busan
"(21445, 'Busan')",San Francisco Shock,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,0.0,179.0,San Francisco Shock,Shanghai Dragons,2019,Busan
"(21445, 'Volskaya Industries')",San Francisco Shock,0.0,0.0,0.0,0.0,111.46800231933594,461.56602478027344,0.0,556.9320068359375,0.0,0.0,0.0,0.0,Shanghai Dragons,San Francisco Shock,2019,Volskaya Industries
"(21445, 'Blizzard World')",Shanghai Dragons,109.69255828857422,109.6821746826172,0.0,109.6821746826172,96.6959991455078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Shanghai Dragons,San Francisco Shock,2019,Blizzard World
"(21445, 'Route 66')",San Francisco Shock,52.11125183105469,74.55299377441406,0.0,74.55299377441406,0.0,89.32200622558594,0.0,89.32200622558594,0.0,0.0,0.0,0.0,Shanghai Dragons,San Francisco Shock,2019,Route 66
"(21511, 'Ilios')",New York Excelsior,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,0.0,0.0,200.0,Hangzhou Spark,New York Excelsior,2019,Ilios
"(21511, 'Volskaya Industries')",Hangzhou Spark,0.0,0.0,0.0,0.0,315.47804260253906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Hangzhou Spark,New York Excelsior,2019,Volskaya Industries
"(21511, 'Hollywood')",Hangzhou Spark,74.47479248046875,74.4657974243164,0.0,74.4657974243164,144.80902099609375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Hangzhou Spark,New York Excelsior,2019,Hollywood
"(21511, 'Junkertown')",New York Excelsior,185.18070220947266,185.19005584716797,83.32276153564453,203.730224609375,60.0,211.0600128173828,0.0,457.25,0.0,0.0,0.0,0.0,Hangzhou Spark,New York Excelsior,2019,Junkertown
"(21511, 'Lijiang Tower')",New York Excelsior,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,172.0,0.0,0.0,200.0,Hangzhou Spark,New York Excelsior,2019,Lijiang Tower
"(21474, 'Lijiang Tower')",London Spitfire,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,0.0,0.0,200.0,Houston Outlaws,London Spitfire,2019,Lijiang Tower
"(21474, 'Volskaya Industries')",London Spitfire,0.0,0.0,0.0,0.0,297.5210266113281,211.70506286621094,297.5210266113281,211.70506286621094,0.0,0.0,0.0,0.0,Houston Outlaws,London Spitfire,2019,Volskaya Industries
"(21474, ""King's Row"")",London Spitfire,46.656517028808594,70.29187774658203,0.0,70.29187774658203,0.0,74.45404052734375,0.0,74.45404052734375,0.0,0.0,0.0,0.0,Houston Outlaws,London Spitfire,2019,King's Row
"(21474, 'Route 66')",Houston Outlaws,75.01685333251953,75.01414489746094,0.0,75.01414489746094,61.26602172851562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Houston Outlaws,London Spitfire,2019,Route 66
"(21426, 'Lijiang Tower')",Seoul Dynasty,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,235.0,0.0,0.0,246.0,Seoul Dynasty,Toronto Defiant,2019,Lijiang Tower
"(21426, 'Volskaya Industries')",draw,0.0,0.0,0.0,0.0,65.08200073242189,0.0,65.08200073242189,60.0,0.0,0.0,0.0,0.0,Toronto Defiant,Seoul Dynasty,2019,Volskaya Industries
"(21426, 'Blizzard World')",Seoul Dynasty,111.59286499023438,111.6061782836914,111.59286499023438,111.6061782836914,0.0,231.55206298828125,0.0,182.2750244140625,0.0,0.0,0.0,0.0,Toronto Defiant,Seoul Dynasty,2019,Blizzard World
"(21426, 'Junkertown')",Toronto Defiant,75.62149047851562,75.61182403564453,0.0,75.61182403564453,137.38400268554688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Toronto Defiant,Seoul Dynasty,2019,Junkertown
"(21456, 'Ilios')",Los Angeles Valiant,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.0,0.0,0.0,200.0,Florida Mayhem,Los Angeles Valiant,2019,Ilios
