key,map_winner,attacker_payload_distance1,attacker_payload_distance2,defender_payload_distance1,defender_payload_distance2,attacker_time_banked1,attacker_time_banked2,defender_time_banked1,defender_time_banked2,attacker_control_perecent1,attacker_control_perecent2,defender_control_perecent1,defender_control_perecent2,team_one_name,team_two_name
"(32863, 5)",Guangzhou Charge,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,298.0,0.0,0.0,267.0,Chengdu Hunters,Guangzhou Charge
"(31073, 1)",Houston Outlaws,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,0.0,186.0,Houston Outlaws,Paris Eternal
"(31073, 2)",Paris Eternal,0.0,0.0,0.0,0.0,120.0,394.261962890625,0.0,399.6259460449218,0.0,0.0,0.0,0.0,Houston Outlaws,Paris Eternal
"(31073, 3)",Paris Eternal,84.71837615966797,84.17808532714844,0.0,84.17808532714844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Houston Outlaws,Paris Eternal
"(31073, 4)",Paris Eternal,54.52378845214844,79.10770416259766,0.0,79.10770416259766,0.0,83.15099334716797,0.0,83.15099334716797,0.0,0.0,0.0,0.0,Houston Outlaws,Paris Eternal
"(31059, 1)",Philadelphia Fusion,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,259.0,0.0,0.0,238.0,Philadelphia Fusion,Washington Justice
"(31059, 2)",Philadelphia Fusion,0.0,0.0,0.0,0.0,0.0,144.8459930419922,0.0,144.8459930419922,0.0,0.0,0.0,0.0,Washington Justice,Philadelphia Fusion
"(31059, 3)",Philadelphia Fusion,64.21189880371094,74.53886413574219,0.0,74.53886413574219,0.0,141.68499755859375,0.0,141.68499755859375,0.0,0.0,0.0,0.0,Washington Justice,Philadelphia Fusion
"(32817, 1)",Los Angeles Valiant,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.0,0.0,0.0,200.0,Dallas Fuel,Los Angeles Valiant
"(32817, 2)",Dallas Fuel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Dallas Fuel,Los Angeles Valiant
"(32817, 3)",Los Angeles Valiant,74.83208465576172,74.60198974609375,0.0,74.60198974609375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Dallas Fuel,Los Angeles Valiant
"(32817, 4)",Dallas Fuel,67.704345703125,67.70016479492189,0.0,67.70016479492189,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Dallas Fuel,Los Angeles Valiant
"(32817, 5)",Dallas Fuel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,0.0,99.0,Dallas Fuel,Los Angeles Valiant
"(32832, 1)",Shanghai Dragons,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.0,0.0,0.0,200.0,Chengdu Hunters,Shanghai Dragons
"(32832, 2)",Chengdu Hunters,0.0,0.0,0.0,0.0,367.3400115966797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Chengdu Hunters,Shanghai Dragons
"(32832, 3)",Shanghai Dragons,79.25567626953125,86.99458312988281,0.0,86.99458312988281,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Chengdu Hunters,Shanghai Dragons
"(32832, 4)",Shanghai Dragons,67.73240661621094,67.72593688964844,0.0,135.45187377929688,60.0,160.4720230102539,0.0,253.25,0.0,0.0,0.0,0.0,Chengdu Hunters,Shanghai Dragons
"(32833, 1)",Hangzhou Spark,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,243.0,0.0,0.0,234.0,Guangzhou Charge,Hangzhou Spark
"(32833, 2)",Guangzhou Charge,0.0,0.0,0.0,0.0,290.260009765625,233.11599731445312,177.156005859375,120.0,0.0,0.0,0.0,0.0,Guangzhou Charge,Hangzhou Spark
"(32833, 3)",Guangzhou Charge,132.90424728393555,181.1021270751953,88.18357849121094,181.1021270751953,129.30804443359378,57.67098999023438,129.30804443359378,60.0,0.0,0.0,0.0,0.0,Hangzhou Spark,Guangzhou Charge
"(32833, 4)",Hangzhou Spark,51.70124816894531,51.69606018066406,0.0,51.69606018066406,137.39802551269528,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Hangzhou Spark,Guangzhou Charge
"(32833, 5)",Hangzhou Spark,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,159.0,0.0,0.0,200.0,Guangzhou Charge,Hangzhou Spark
"(32854, 1)",Hangzhou Spark,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,0.0,64.0,Hangzhou Spark,Chengdu Hunters
"(32854, 2)",Hangzhou Spark,114.06656646728516,79.11646270751953,0.0,79.11646270751953,0.0,166.18502807617188,0.0,166.18502807617188,0.0,0.0,0.0,0.0,Chengdu Hunters,Hangzhou Spark
